data/id,data/name,data/color,position/x,position/z,data/insf,group,selected
66,Huge,cyr,gau,#7CB72A,edges

67,1518,noe,flo,#E8A109,edges
68,1518,noe,col,#E8A109,edges
69,Huge,noe,gau,#7CB72A,edges

70,Other,ale,lea,#E8A109,edges
71,Other,ale,vinco,#E8A109,edges

72,Ideo,col,jul,#7CB72A,edges
73,Ideo,col,leo,#7CB72A,edges
74,Ideo,col,frar,#7CB72A,edges
75,Ideo,col,soi,#7CB72A,edges
76,Branch,col,flo,#7CB72A,edges
77,1518,col,leo,#E8A109,edges
78,1518,col,jul,#E8A109,edges
79,3841,col,frar,#E8A109,edges

80,Ideo,soi,jul,#7CB72A,edges
81,Ideo,soi,leo,#7CB72A,edges
82,Ideo,soi,frar,#7CB72A,edges
83,3841,soi,eli,#E8A109,edges
84,3841,soi,rom,#E8A109,edges

85,Other,stec,jun,#E8A109,edges
86,Other,stec,frad,#E8A109,edges

87,,jun,frad,#E8A109,edges
88,Google,jun,vincl,#7CB72A,edges
89,Google,jun,maxdu,#7CB72A,edges

90,Nokia,mat,gau,#7CB72A,edges
91,Bachs,mat,maxde,#7CB72A,edges
92,Bachs,mat,frar,#7CB72A,edges
93,Bachs,mat,cleb,#7CB72A,edges
94,Other,mat,mar,#E8A109,edges
95,Other,mat,maxdu,#E8A109,edges

96,Lunar,mar,ben,#7CB72A,edges
97,Lunar,mar,tif,#7CB72A,edges
98,3841,mar,rom,#E8A109,edges
99,3841,mar,eli,#E8A109,edges
100,3841,mar,steb,#E8A109,edges

101,HTC,jus,maxde,#7CB72A,edges
102,HTC,jus,maxdu,#7CB72A,edges
103,Alvarado,jus,cec,#E8A109,edges
104,Alvarado,jus,vincl,#E8A109,edges
105,Alvarado,jus,ben,#E8A109,edges

106,Apple,rom,juli,#7CB72A,edges
107,Apple,rom,cod,#7CB72A,edges
108,Apple,rom,ben,#7CB72A,edges
109,Apple,rom,arn,#7CB72A,edges
110,3841,rom,eli,#E8A109,edges
111,3841,rom,steb,#E8A109,edges

112,3841,eli,frar,#E8A109,edges
113,3841,eli,steb,#E8A109,edges
114,3841,eli,maxl,#E8A109,edges
115,3841,eli,syl,#E8A109,edges

116,Google,vincl,maxdu,#7CB72A,edges
117,Alvarado,vincl,ben,#E8A109,edges
118,Alvarado,vincl,cec,#E8A109,edges
119,Alvarado,ben,cec,#E8A109,edges
120,Apple,ben,arn,#7CB72A,edges
121,Apple,ben,cod,#7CB72A,edges
122,Apple,ben,juli,#7CB72A,edges

123,Bachs,maxde,frar,#7CB72A,edges
124,Bachs,maxde,gau,#7CB72A,edges
124,Bachs,maxde,cleb,#7CB72A,edges
125,Other,maxde,emi,#E8A109,edges
126,1518,maxde,cleb,#E8A109,edges
127,1518,maxde,gau,#E8A109,edges
128,1518,maxde,frar,#E8A109,edges

129,,maxdu,tif,#E8A109,edges
130,Fuse,clep,art,#7CB72A,edges
131,Other,art,mor,#E8A109,edges

132,Other,clep,maru,#E8A109,edges
133,1518,clep,cleb,#E8A109,edges
134,1518,clep,gau,#E8A109,edges
135,3841,clep,syl,#E8A109,edges
136,3841,clep,frar,#E8A109,edges

137,Other,arn,mir,#E8A109,edges
138,Apple,arn,juli,#7CB72A,edges
139,Apple,arn,cod,#7CB72A,edges
140,Apple,juli,cod,#7CB72A,edges
141,Other,juli,cod,#E8A109,edges

142,Facebook,maxl,frar,#7CB72A,edges
143,Facebook,maxl,syl,#7CB72A,edges
144,3841,maxl,frar,#E8A109,edges
145,3841,maxl,syl,#E8A109,edges
146,3841,frar,syl,#E8A109,edges
147,Facebook,frar,syl,#7CB72A,edges

148,Bachs,cleb,frar,#7CB72A,edges
149,Bachs,cleb,gau,#7CB72A,edges
150,1518,cleb,frar,#E8A109,edges
151,1518,cleb,gau,#E8A109,edges

152,Other,gau,ken,#E8A109,edges
153,1518,gau,frar,#E8A109,edges
154,Bachs,gau,frar,#7CB72A,edges

155,1518,flo,leo,#E8A109,edges
156,Other,flo,eth,#E8A109,edges

157,3841,leo,frar,#E8A109,edges
158,Ideo,leo,frar,#7CB72A,edges

159,Ideo,jul,frar,#7CB72A,edges
160,Ideo,leo,jul,#7CB72A,edges
161,1518,jul,leo,#E8A109,edges

